"X"	"text"	"coref."	"correction."	"pos."	"X.1"	"trans."	"combo"
"95"	9444	"#TYTLive Trump will take credit for Chelsea Manning. He'll say he would've done it if Obama didn't. Along those lines..."	0	NA	NA	NA	"no"	"he-Chelsea"
"96"	6924	"#usanews Barack Obama Doesn‚Äôt Get A Pass On His Abuse Of Chelsea Manning https://t.co/cQZxs4d4V5"	0	NA	NA	NA	"no"	"he-Chelsea"
"97"	2277	"USER  And you use a picture of Chelsea Manning to express this? The whistleblower he chose to destroy"	0	NA	NA	NA	"no"	"he-Chelsea"
"98"	2973	"USER Chelsea Manning spent 7 years is mostly solitary confinement. He didn't pardon her he shortened her sentence."	0	NA	NA	NA	"no"	"he-Chelsea"
"99"	3503	"USER forgotten what he did to Chelsea Manning?"	0	NA	NA	NA	"no"	"he-Chelsea"
"100"	1145	"USER well like I saw you judge him for what he did with Chelsea manning but in the grand scheme, he had a reason"	0	NA	NA	NA	"no"	"he-Chelsea"
"101"	2417	"USER while he gets lots of peace prizes for releasing chelsea manning and putting a rainbow flag on the white house  Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç"	0	NA	NA	NA	"yes"	"he-Chelsea"
"102"	8652	"USERs Set him straight on Chelsea Manning."	0	NA	NA	NA	"no"	"he-Chelsea"
"103"	2985	"USER  He leaves behind a weak administration. Letting Chelsea Manning off was the worst ....not a true American."	0	NA	NA	NA	"no"	"he-Chelsea"
"104"	9355	"USER won't dare mention the US war crimes that Chelsea Manning revealed, he plays anti-trans card instead https://t.co/e0YZAA5te0"	0	NA	NA	NA	"yes"	"he-Chelsea"
"105"	2297	"USER His commutation of Chelsea Manning defined Pres Obama as thin-skinned...It was the ultimate F.U. to the right"	0	NA	NA	NA	"no"	"he-Chelsea"
"106"	1388	"USER He calls Bradley Manning Chelsea he is a professional liar"	0	NA	NA	NA	"yes"	"he-Chelsea"
"107"	6063	"USER Maybe he didn't because there is no Bradley Manning in prison. However there is a Chelsea with that last name, maybe her?"	0	NA	NA	NA	"yes"	"he-Chelsea"
"108"	9693	"USER he commuted the sentence of Chelsea Manning because of the LGBT community even though peoples lives were put."	0	NA	NA	NA	"yes"	"he-Chelsea"
"109"	1168	"USER he freed alot of non violent drug offenders and chelsea manning too"	0	NA	NA	NA	"no"	"he-Chelsea"
"110"	5665	"USER I agree w/ President Obama  on most issues but I don't think he should've commuted Chelsea Manning's sentence, poor precedent."	0	NA	NA	NA	"no"	"he-Chelsea"
"111"	1375	"POTUS44 USER so does he know more than the generals? With Chelsea manning..."	0	NA	NA	NA	"no"	"he-Chelsea"
"112"	7031	"USER Chelsea Bradley Manning thanks him too.. Breathtaking hypocrisy."	0	NA	NA	NA	"yes"	"he-Chelsea"
"113"	972	"USER , Maybe he was dressing Chelsea manning instead.https://t.co/BRiOZQt97I"	0	NA	NA	NA	"yes"	"he-Chelsea"
"114"	5896	"USER NEVER again. Good riddance to bad rubbish that is Obama his granting clemency to Private Chelsea Manning long overdue"	0	NA	NA	NA	"no"	"he-Chelsea"
"115"	9493	"USER he also freed Chelsea Manning Ì†ΩÌ∏µÌ†ΩÌ∏µÌ†ΩÌ∏µ"	0	NA	NA	NA	"no"	"he-Chelsea"
"116"	3339	"USER USERrealDonaldTrump He might have kept the WH clean, but his legacy is smeared with dirt...please see Chelsea Manning."	0	NA	NA	NA	"no"	"he-Chelsea"
"117"	7123	"USER USER I wouldn't be surprised! He let Chelsea Manning off, Snowden too maybe? He better not, that would be awful!"	0	NA	NA	NA	"no"	"he-Chelsea"
"118"	2373	"USER USER though he did pardon Chelsea manning"	0	NA	NA	NA	"no"	"he-Chelsea"
"119"	6165	"USER I can't wait because Obama will be marching with his new woman Chelsea Manning https://t.co/C8ieo02U48"	0	NA	NA	NA	"yes"	"he-Chelsea"
"120"	1058	"USER In granting clemency to Chelsea Manning, President Obama continued his record of advocating on behalf of all prisoners and settin‚Ä¶"	0	NA	NA	NA	"no"	"he-Chelsea"
"121"	8569	"‚ñ∫ VIDEO: Barack Obama explains why he commuted the sentence of Chelsea Manning https://t.co/I8aXVd0ePp https://t.co/PeRMctziRU"	0	NA	NA	NA	"no"	"he-Chelsea"
"122"	5741	"As soon as Mike Pence found out that Obama was commuting the sentence of Chelsea Manning, he took INSTANT action.... https://t.co/KDZuu7OSJn"	0	NA	NA	NA	"no"	"he-Chelsea"
"123"	9666	"Assange said will stand by his promise to b extradited to US after Chelsea Manning‚Äôs commutation,while promising a big publishing year ahead"	0	NA	NA	NA	"no"	"he-Chelsea"
"124"	1528	"Chuck will talk with USER about his USER piece \"On Chelsea Manning's Freedom\" https://t.co/BUJueb4qrV"	0	NA	NA	NA	"no"	"he-Chelsea"
"125"	9066	"Commutation is forgiveness. Obama forgave Chelsea Manning, in his capacity as head of state. That is a good thing. https://t.co/Id8gOyZ6yB"	0	NA	NA	NA	"no"	"he-Chelsea"
"126"	5951	"Do we need any more proof this prick never cared how far out Chelsea Manning was left to dry? He totally thought O‚Ä¶ https://t.co/TFIG919KEp"	0	NA	NA	NA	"no"	"he-Chelsea"
"127"	805	"do you love the fact that he freed chelsea manning more than the fact that he imprisoned her?"	0	NA	NA	NA	"no"	"he-Chelsea"
"128"	1228	"everyone was also nutting about the fact that he commuted chelsea manning's prison sentence as if he wasn't the one that put her there"	0	NA	NA	NA	"no"	"he-Chelsea"
"129"	8860	"For instance, on his final day, Obama reduced Chelsea Manning's sentence to something like just 5 years"	0	NA	NA	NA	"no"	"he-Chelsea"
"130"	2081	"Freeing Chelsea Manning: In one of his final decisions in office this week, President Barack Obama commuted the‚Ä¶ https://t.co/gJSWvOF6gp"	0	NA	NA	NA	"no"	"he-Chelsea"
"131"	6462	"From Chelsea Manning to Lopez Rivera If Obama has decided to commute everyone then why has he left Edward Snowden?
https://t.co/z9RahQUgLM"	0	NA	NA	NA	"no"	"he-Chelsea"
"132"	5589	"He did promise he would - Wikileaks boss Julian Assange agrees to go to the US as Chelsea Manning sentence commuted https://t.co/DY5VikFD63"	0	NA	NA	NA	"no"	"he-Chelsea"
"133"	8393	"Hey USERpotus Give Blago back his hair dye. You pardoned Chelsea Manning,  #RobBlagojevich will return your street cre‚Ä¶ https://t.co/kMxkEdHcfq"	0	NA	NA	NA	"no"	"he-Chelsea"
